2025-08-06T04:09:27.791Z,worker-mdzg8hze8k727ithzji,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-06T04:10:58.451Z,worker-mdyoc77v8og8iid2y02,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-06T04:11:00.079Z,worker-mdyoc8ir45gtoycvyv3,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-06T04:11:00.301Z,worker-mdyrvtz2hob05mljak9,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-06T04:11:01.475Z,worker-mdx1cw18y71uqtpye1a,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-06T04:11:03.059Z,worker-mdyoc7x06ljci6iq5ao,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-06T04:11:04.577Z,worker-mdyoc73418lboqq6zxs,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-06T04:11:12.629Z,worker-mdzfckqe74cwweokkun,160.202.144.166,8,"Chrome on Android",Disconnected
2025-08-06T04:12:04.929Z,worker-mdzgbu293e0p2jb6zv,160.202.144.166,8,"Chrome on Android",Connected
2025-08-06T04:12:40.586Z,worker-mdzfd4wbfs1c8s1vjb8,160.202.144.166,8,"Chrome on Android",Connected
2025-08-06T04:13:33.733Z,worker-mdzfd4wbfs1c8s1vjb8,160.202.144.166,8,"Chrome on Android",Disconnected
2025-08-06T04:14:40.751Z,worker-mdzfd4wbfs1c8s1vjb8,160.202.144.166,8,"Chrome on Android",Connected
2025-08-06T04:20:15.622Z,worker-mdyrvtz2hob05mljak9,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-06T04:20:41.042Z,worker-mdzg8hze8k727ithzji,160.202.144.166,8,"Firefox on Windows",Connected
2025-08-06T04:20:47.449Z,worker-mdyoc73418lboqq6zxs,160.202.144.166,8,"Firefox on Windows",Disconnected
2025-08-06T04:20:47.457Z,worker-mdyoc7x06ljci6iq5ao,160.202.144.166,8,"Firefox on Windows",Disconnected
2025-08-06T04:20:47.466Z,worker-mdx1cw18y71uqtpye1a,160.202.144.166,8,"Firefox on Windows",Disconnected
2025-08-06T04:20:47.474Z,worker-mdyoc8ir45gtoycvyv3,160.202.144.166,8,"Firefox on Windows",Disconnected
2025-08-06T04:20:47.483Z,worker-mdyoc77v8og8iid2y02,160.202.144.166,8,"Firefox on Windows",Disconnected
2025-08-06T04:20:49.758Z,worker-mdyrvtz2hob05mljak9,160.202.144.166,8,"Firefox on Windows",Disconnected
2025-08-06T04:21:17.468Z,worker-mdzg8hze8k727ithzji,160.202.144.166,8,"Firefox on Windows",Disconnected
