Timestamp,WorkerID,IPAddress,CPU_Cores,Browser,Status
2025-07-29T13:09:09.328Z,worker-mdojpo2kmbzhavxrko,192.168.0.152,8,"Chrome on Android",Disconnected
2025-07-29T20:15:37.161Z,worker-mdowspcv6qbt3cxcmgn,192.168.1.112,8,"Firefox on Windows",Connected
2025-07-29T20:15:39.182Z,worker-mdowsx11zym6d3wjia,192.168.1.100,4,"Chrome on Windows",Connected
2025-07-29T20:15:39.201Z,worker-mdowtl380qgd2qg2t7bl,192.168.1.108,4,"Chrome on Windows",Connected
2025-07-29T20:15:39.231Z,worker-mdowtl380qgd2qg2t7bl,192.168.1.108,4,"Chrome on Windows",Connected
2025-07-29T20:15:39.403Z,worker-mdoyaftdgttnu8mnb9s,192.168.1.110,4,"Chrome on Windows",Connected
2025-07-29T20:15:40.906Z,worker-mdoyp0emg9r3dalkpik,192.168.1.113,8,"Firefox on Windows",Connected
2025-07-29T20:15:43.762Z,worker-mdoyp0emg9r3dalkpik,192.168.1.113,8,"Firefox on Windows",Connected
2025-07-29T20:15:44.197Z,worker-mdowtl380qgd2qg2t7bl,192.168.1.108,4,"Chrome on Windows",Connected
2025-07-29T20:15:44.492Z,worker-mdowsx11zym6d3wjia,192.168.1.100,4,"Chrome on Windows",Connected
2025-07-29T20:15:45.516Z,worker-mdoyaftdgttnu8mnb9s,192.168.1.110,4,"Chrome on Windows",Connected
2025-07-29T20:17:29.248Z,worker-mdowsx11zym6d3wjia,192.168.1.100,4,"Chrome on Windows",Connected
2025-07-29T20:17:29.281Z,worker-mdowtl380qgd2qg2t7bl,192.168.1.108,4,"Chrome on Windows",Connected
2025-07-29T20:17:29.332Z,worker-mdowtl380qgd2qg2t7bl,192.168.1.108,4,"Chrome on Windows",Connected
2025-07-29T20:17:29.381Z,worker-mdoyaftdgttnu8mnb9s,192.168.1.110,4,"Chrome on Windows",Connected
2025-07-29T20:17:30.642Z,worker-mdoyp0emg9r3dalkpik,192.168.1.113,8,"Firefox on Windows",Connected
2025-07-29T20:17:33.582Z,worker-mdoyp0emg9r3dalkpik,192.168.1.113,8,"Firefox on Windows",Connected
2025-07-29T20:17:34.247Z,worker-mdowsx11zym6d3wjia,192.168.1.100,4,"Chrome on Windows",Connected
2025-07-29T20:17:34.831Z,worker-mdowtl380qgd2qg2t7bl,192.168.1.108,4,"Chrome on Windows",Connected
2025-07-29T20:17:35.183Z,worker-mdoyaftdgttnu8mnb9s,192.168.1.110,4,"Chrome on Windows",Connected
2025-07-29T20:17:35.188Z,worker-mdowspcv6qbt3cxcmgn,192.168.1.112,8,"Firefox on Windows",Connected
2025-07-29T20:17:40.933Z,worker-mdoyss8hp4mz2pve8m,192.168.1.107,8,"Chrome on Android",Connected
2025-07-29T20:17:43.345Z,worker-mdowspcv6qbt3cxcmgn,192.168.1.112,8,"Firefox on Windows",Disconnected
2025-07-29T20:18:33.494Z,worker-mdowsx11zym6d3wjia,192.168.1.100,4,"Chrome on Windows",Disconnected
